Customer_ID,Gender,Region,Subscription_Plan,Payment_Method,Age,Days_Since_Last_Login,Customer_Service_Calls,Monthly_Spend,Churn
10040,Female,South,Basic,E-Wallet,34.0,150,2,,1
10041,Male,South,PRO,PayPal,47.0,8,3,110.17,0
10042,Female,East,Basic,PayPal,37.0,154,3,24.14,1
10043,Male,West,Basic,E-Wallet,26.0,50,0,0.0,0
10044,Unknown,East,Pro,Credit Card,34.0,56,4,8.77,1
10045,Male,West,Pro,Credit Card,30.0,81,4,13.47,1
10046,Female,West,PRO,,35.0,163,4,105.25,1
10047,Male,West,Basic,E-Wallet,29.0,161,2,36.71,1
10048,Female,East,Basic,Credit Card,27.0,12,3,1.76,1
10049,Female,South,Basic,PayPal,35.0,173,1,110.11,1
10050,Male,East,Basic,PayPal,34.0,179,1,27.85,1
10051,Unknown,East,Plus,,44.0,27,2,94.4,0
10052,Female,West,Pro,,29.0,85,1,78.88,1
10053,Unknown,North,Basic,Credit Card,14.0,110,2,46.92,1
10054,Non-Binary,North,Plus,E-Wallet,30.0,157,1,139.6,1
10055,Female,east,Basic,Credit Card,17.0,44,2,22.44,0
10056,Unknown,West,Pro,E-Wallet,38.0,37,1,109.19,1
10057,Male,east,Basic,E-Wallet,17.0,19,2,37.98,1
10058,Male,East,Pro,Credit Card,24.0,96,1,110.17,0
10059,Male,South,Basic,,30.0,174,1,58.26,1
10060,Male,West,Basic,PayPal,49.0,101,2,,1
10061,Male,North,Basic,E-Wallet,23.0,58,1,52.67,1
10062,Male,North,Basic,,34.0,141,0,54.44,1
10063,Non-Binary,North,Basic,Crypto,39.0,41,0,39.57,0
10064,Male,East,Basic,Crypto,,58,5,42.83,1
10065,Male,West,Basic,E-Wallet,41.0,7,2,0.0,1
10066,Female,south,Pro,PayPal,44.0,56,3,146.01,1
10067,Male,North,Basic,E-Wallet,42.0,149,2,52.99,1
10068,Non-Binary,West,Pro,Crypto,21.0,101,0,111.95,0
10069,Male,north,Basic,Crypto,37.0,83,2,85.35,1
10070,Unknown,South,Plus,Crypto,42.0,20,0,193.97,0
10071,Female,West,Plus,Credit Card,24.0,127,1,195.1,1
10072,Male,East,Basic,Crypto,28.0,155,0,0.0,1
10073,Male,East,PRO,PayPal,25.0,48,1,0.0,1
10074,Non-Binary,North,Basic,Credit Card,,150,2,23.96,0
10075,Female,North,Plus,Crypto,33.0,53,0,170.01,0
10076,Female,West,Pro,PayPal,30.0,150,0,98.39,1
10077,Female,South,Basic,Crypto,21.0,67,4,41.27,0
10078,Male,North,Basic,PayPal,33.0,45,3,41.42,1
10079,Male,West,Basic,PayPal,28.0,155,2,35.31,1
10080,Male,South,Basic,Crypto,36.0,94,1,0.0,1
10081,Non-Binary,North,Pro,Crypto,22.0,96,4,28.59,1
10082,Female,north,Basic,Credit Card,35.0,49,5,24.51,1
10083,Male,West,Basic,Crypto,29.0,82,3,4.32,1
10084,Male,North,Basic,PayPal,21.0,62,0,12.9,1
10085,Male,East,Basic,E-Wallet,,9,1,0.0,1
10086,Male,South,Basic,Credit Card,22.0,88,0,22.64,1
10087,Female,South,Plus,PayPal,31.0,164,-1,169.82,1
10088,Female,East,Basic,PayPal,35.0,140,3,0.0,0
10089,Non-Binary,West,Pro,E-Wallet,36.0,69,1,101.97,1
10090,Female,East,Basic,Crypto,37.0,29,2,0.0,1
10091,Male,East,Basic,PayPal,26.0,79,1,49.24,1
10092,Female,South,Pro,E-Wallet,44.0,71,2,52.76,1
10093,Female,West,Basic,E-Wallet,29.0,138,0,71.49,1
10094,Female,North,Basic,Crypto,38.0,122,3,0.0,1
10095,Female,East,Pro,,,128,1,42.68,1
10096,Female,East,Basic,E-Wallet,37.0,145,2,27.97,1
10097,Female,West,Basic,E-Wallet,31.0,99,3,43.45,1
10098,Female,East,Pro,E-Wallet,37.0,10,3,122.37,0
10099,Male,West,Pro,E-Wallet,33.0,83,4,108.03,1
10100,Male,North,Basic,,42.0,137,0,,1
10101,Male,West,BASIC,PayPal,25.0,175,1,99999.99,1
10102,Female,North,Basic,Credit Card,16.0,60,1,99999.99,1
10103,Male,West,Basic,Crypto,24.0,137,1,99999.99,1
10104,Female,East,Pro,Credit Card,44.0,100,1,99999.99,0
10105,Unknown,North,Plus,Crypto,32.0,121,2,99999.99,1
10106,Male,East,Plus,Credit Card,34.0,59,2,99999.99,1
10107,Female,North,Basic,,23.0,113,3,99999.99,1
10108,Female,West,Basic,E-Wallet,34.0,149,2,99999.99,1
10109,Male,West,Pro,Credit Card,23.0,74,4,99999.99,1
10110,Male,West,Basic,Credit Card,25.0,98,0,99999.99,1
10111,Male,south,Pro,Crypto,29.0,8,0,99999.99,0
10112,Male,South,PRO,Crypto,38.0,142,1,22.92,1
10113,Unknown,North,Plus,PayPal,39.0,82,3,,0
10114,Non-Binary,South,Basic,E-Wallet,39.0,36,4,0.0,1
10115,Female,West,Basic,E-Wallet,18.0,69,1,64.35,1
10116,Non-Binary,South,Plus,PayPal,33.0,171,3,133.0,1
10117,Non-Binary,South,Pro,Crypto,32.0,130,0,33.26,1
10118,Male,East,Plus,E-Wallet,18.0,9,3,,0
10119,Non-Binary,North,Basic,Crypto,34.0,131,1,0.0,1
10120,Female,North,Pro,E-Wallet,31.0,55,2,165.35,0
10121,Non-Binary,North,Pro,Credit Card,39.0,167,2,109.11,1
10122,Non-Binary,South,Basic,Credit Card,34.0,32,4,4.18,1
10123,Male,West,Pro,E-Wallet,,160,0,77.74,1
10124,Male,East,Pro,E-Wallet,,148,0,45.48,0
10125,Male,North,BASIC,E-Wallet,11.0,102,1,39.91,0
10126,Female,South,Basic,PayPal,33.0,118,1,0.0,1
10127,Non-Binary,west,Pro,E-Wallet,16.0,44,2,20.79,1
10128,Non-Binary,East,Basic,PayPal,24.0,56,0,,1
10129,Male,East,Plus,PayPal,39.0,167,1,221.37,0
10130,Female,north,Basic,Credit Card,21.0,125,1,,1
10131,Female,North,Basic,E-Wallet,19.0,126,1,0.0,1
10132,Male,West,Plus,Credit Card,,9,2,140.97,1
10133,Male,south,Plus,Credit Card,20.0,73,2,135.03,0
10134,Male,West,Basic,PayPal,50.0,65,2,15.37,1
10135,Unknown,North,Pro,,32.0,101,4,99.31,1
10136,Male,West,Basic,PayPal,28.0,84,1,16.61,1
10137,Female,South,Basic,Credit Card,39.0,157,2,0.0,1
10138,Female,East,Basic,PayPal,47.0,81,1,12.83,0
10139,Male,East,Basic,PayPal,22.0,34,0,42.45,0
10140,Unknown,East,Plus,PayPal,28.0,52,1,125.37,0
10141,Unknown,East,Pro,E-Wallet,42.0,166,0,102.71,0
10142,Male,North,Plus,PayPal,36.0,111,1,,0
10143,Female,North,Pro,Credit Card,45.0,21,2,94.68,1
10144,Male,South,Basic,PayPal,39.0,66,2,0.0,0
10145,Male,South,Pro,E-Wallet,52.0,99,2,140.98,1
10146,Male,south,Plus,Credit Card,35.0,79,5,201.09,1
10147,Female,South,PRO,PayPal,,99,2,92.74,1
10148,Female,West,Pro,Credit Card,37.0,74,0,68.18,1
10149,Male,South,Plus,E-Wallet,32.0,119,2,199.79,1
10150,Male,East,Basic,Crypto,,16,3,41.31,0
10151,Unknown,East,Pro,E-Wallet,,146,0,123.33,0
10152,Male,East,Plus,,41.0,71,0,147.55,0
10153,Male,West,Plus,Credit Card,43.0,123,0,142.03,0
10154,Female,South,Basic,Credit Card,38.0,89,2,0.0,1
10155,Unknown,East,Pro,Crypto,39.0,50,0,147.51,0
10156,Male,East,Pro,Crypto,23.0,175,0,136.3,0
10157,Female,East,Basic,Crypto,28.0,56,3,4.43,1
10158,Female,East,Pro,E-Wallet,42.0,137,3,,1
10159,Male,North,Basic,E-Wallet,48.0,31,2,56.61,0
10160,Female,South,Basic,,,78,4,55.12,1
10161,Male,South,Basic,Crypto,,122,0,41.56,1
10162,Female,West,Pro,Crypto,34.0,121,1,65.92,1
10163,Female,North,Basic,PayPal,,67,0,17.23,0
10164,Female,West,Basic,PayPal,25.0,27,4,,1
10165,Male,East,Basic,Crypto,38.0,131,4,14.77,1
10166,Non-Binary,West,Basic,,49.0,76,3,105.46,1
10167,Male,East,Basic,Credit Card,,139,2,24.45,1
10168,Male,East,Basic,,32.0,14,2,23.6,1
10169,Male,South,Pro,Credit Card,38.0,28,2,71.66,1
10170,Female,South,Pro,Crypto,41.0,86,2,39.1,1
10171,Female,South,Basic,PayPal,37.0,12,2,63.2,1
10172,Male,South,BASIC,PayPal,51.0,37,1,0.0,1
10173,Female,South,Pro,Credit Card,34.0,109,1,98.66,0
10174,Male,North,Basic,Crypto,47.0,34,0,0.0,1
10175,Female,South,Plus,PayPal,27.0,167,3,177.97,1
10176,Male,West,PRO,Crypto,34.0,75,0,127.18,1
10177,Female,East,Basic,Crypto,21.0,109,0,54.62,0
10178,Male,South,Basic,Credit Card,43.0,4,2,0.0,0
10179,Unknown,North,Pro,Crypto,32.0,1,0,45.15,1
10180,Male,West,Basic,Crypto,37.0,29,2,25.9,0
10181,Male,west,BASIC,Credit Card,30.0,98,2,0.0,1
10182,Male,East,Basic,PayPal,39.0,118,0,0.0,1
10183,Unknown,West,Pro,E-Wallet,37.0,9,1,67.0,0
10184,Non-Binary,West,Pro,Crypto,24.0,72,2,107.63,1
10185,Male,West,Basic,Credit Card,24.0,123,0,116.85,1
10186,Female,West,Pro,PayPal,33.0,37,0,91.79,0
10187,Non-Binary,North,Basic,Crypto,40.0,93,1,5.08,1
10188,Female,East,Pro,E-Wallet,,118,2,130.83,1
10189,Female,South,Basic,PayPal,37.0,162,2,70.87,1
10190,Male,West,Pro,Credit Card,44.0,70,0,116.85,0
10191,Male,North,Plus,,17.0,139,1,201.93,1
10192,Non-Binary,East,Basic,Credit Card,,169,2,103.21,0
10193,Unknown,South,Basic,E-Wallet,40.0,97,1,0.0,0
10194,Female,East,Basic,E-Wallet,,176,2,25.38,0
10195,Male,North,Basic,Credit Card,32.0,126,2,0.0,0
10196,Male,North,Basic,Crypto,22.0,66,0,51.15,1
10197,Female,North,Plus,Credit Card,25.0,32,1,174.68,0
10198,Non-Binary,West,Plus,PayPal,53.0,103,3,175.32,1
10199,Non-Binary,North,BASIC,Credit Card,,140,0,10.73,1
10200,Female,South,Pro,E-Wallet,23.0,147,5,97.68,1
10201,Female,West,Pro,Crypto,26.0,160,0,104.41,1
10202,Male,East,Pro,,22.0,33,0,68.17,0
10203,Male,South,Basic,E-Wallet,34.0,49,4,0.0,1
10204,Non-Binary,West,Basic,E-Wallet,,177,0,89.68,0
10205,Female,North,Basic,PayPal,27.0,136,2,62.8,1
10206,Male,East,Basic,E-Wallet,,6,3,0.0,1
10207,Male,North,Pro,E-Wallet,36.0,136,1,39.01,1
10208,Female,South,Pro,E-Wallet,33.0,105,1,67.63,1
10209,Male,South,BASIC,Crypto,,153,1,57.82,1
10210,Male,West,Basic,,29.0,129,2,0.0,1
10211,Female,South,Plus,Credit Card,,4,0,108.73,1
10212,Female,East,Pro,Credit Card,32.0,112,0,75.46,1
10213,Female,West,Plus,,34.0,65,2,166.44,1
10214,Male,East,Basic,PayPal,30.0,115,1,2.67,1
10215,Female,North,Pro,PayPal,28.0,137,0,97.17,0
10216,Male,East,Pro,Crypto,15.0,158,0,,1
10217,Male,East,Plus,Credit Card,28.0,160,1,98.94,1
10218,Female,South,Basic,Crypto,41.0,107,2,42.22,1
10219,Female,North,Basic,E-Wallet,42.0,110,0,56.19,1
10220,Non-Binary,South,BASIC,Crypto,29.0,133,1,68.63,1
10221,Female,North,PLUS,PayPal,46.0,13,-1,109.87,1
10222,Female,North,Plus,Credit Card,33.0,77,0,182.12,1
10223,Male,East,Plus,PayPal,20.0,14,3,174.36,1
10224,Male,South,Plus,PayPal,17.0,120,2,233.01,1
10225,Male,east,Basic,Credit Card,46.0,170,1,0.0,1
10226,Male,East,Basic,E-Wallet,30.0,147,1,33.73,1
10227,Unknown,East,Basic,Credit Card,21.0,20,3,28.3,0
10228,Male,North,Basic,Credit Card,11.0,28,2,,1
10229,Non-Binary,South,Plus,Crypto,30.0,72,2,214.67,1
10230,Female,South,Plus,Credit Card,38.0,92,2,123.79,1
10231,Female,East,Basic,Crypto,27.0,171,1,0.0,1
10232,Female,North,Pro,PayPal,23.0,161,3,77.45,1
10233,Female,South,Plus,Credit Card,28.0,46,2,127.1,0
10234,Female,West,Basic,E-Wallet,46.0,8,3,53.4,1
10235,Male,South,Basic,Crypto,20.0,111,3,30.27,0
10236,Female,east,Basic,Crypto,27.0,29,9,0.0,1
10237,Male,West,Basic,E-Wallet,46.0,16,1,0.0,1
10238,Male,North,Pro,Crypto,,179,0,103.92,1
10239,Female,West,Basic,Crypto,,58,2,0.29,1
10240,Male,West,Basic,E-Wallet,27.0,118,1,27.31,1
10241,Unknown,east,Plus,PayPal,34.0,131,1,,0
10242,Unknown,South,Pro,Credit Card,28.0,167,0,39.88,0
10243,Unknown,North,Basic,Credit Card,25.0,95,1,0.0,0
10244,Male,West,Plus,Credit Card,23.0,134,1,184.96,1
10245,Male,East,Basic,Credit Card,41.0,37,2,13.82,1
10246,Unknown,south,Basic,Credit Card,33.0,31,4,77.85,1
10247,Female,West,Plus,Credit Card,37.0,68,2,184.86,0
10248,Unknown,East,Basic,Crypto,35.0,66,0,43.83,1
10249,Unknown,East,Pro,Credit Card,38.0,55,2,162.01,0
10250,Non-Binary,East,Basic,Crypto,31.0,19,2,7.21,0
10251,Male,North,Basic,,29.0,119,2,11.11,1
10252,Male,South,Pro,PayPal,25.0,144,1,110.58,1
10253,Non-Binary,West,BASIC,Crypto,,143,2,28.13,1
10254,Male,South,PRO,PayPal,22.0,10,1,56.59,0
10255,Male,South,Pro,E-Wallet,,140,3,58.83,1
10256,Female,West,Plus,Credit Card,17.0,145,1,107.19,1
10257,Unknown,South,PRO,PayPal,20.0,13,5,88.93,1
10258,Female,North,Basic,PayPal,,33,2,57.72,0
10259,Female,West,Plus,E-Wallet,36.0,85,2,157.19,1
10260,Male,West,Pro,E-Wallet,29.0,124,1,116.23,1
10261,Female,East,Pro,E-Wallet,,153,2,82.71,0
10262,Unknown,South,PLUS,Crypto,17.0,169,4,148.27,1
10263,Male,West,Pro,Crypto,43.0,166,0,97.7,1
10264,Female,West,Basic,PayPal,,129,1,20.5,1
10265,Non-Binary,North,Pro,E-Wallet,41.0,49,4,82.61,1
10266,Female,East,Basic,PayPal,,112,0,26.32,1
10267,Female,West,Basic,Credit Card,15.0,143,2,0.0,1
10268,Female,North,Pro,E-Wallet,34.0,61,1,96.13,0
10269,Male,West,Basic,Crypto,37.0,97,2,0.0,1
10270,Male,West,Basic,E-Wallet,12.0,138,2,14.79,1
10271,Non-Binary,West,Basic,PayPal,53.0,126,3,113.52,0
10272,Non-Binary,North,Pro,Crypto,,29,3,128.5,1
10273,Non-Binary,South,Basic,,40.0,154,1,1.29,1
10274,Unknown,West,Pro,Credit Card,22.0,85,1,46.5,0
10275,Female,West,Basic,PayPal,40.0,80,3,14.98,1
10276,Female,South,Basic,E-Wallet,44.0,78,2,38.65,1
10277,Female,West,Basic,Credit Card,36.0,136,3,,1
10278,Female,East,Pro,PayPal,,75,1,68.92,1
10279,Female,West,Basic,Crypto,25.0,129,0,76.83,0
10280,Female,East,Plus,Crypto,31.0,48,2,147.76,0
10281,Non-Binary,South,Plus,PayPal,28.0,47,1,121.17,0
10282,Male,North,Plus,E-Wallet,,54,4,111.33,1
10283,Male,South,Plus,E-Wallet,25.0,79,2,110.76,1
10284,Male,West,Basic,E-Wallet,39.0,66,2,81.03,1
10285,Female,east,Pro,E-Wallet,25.0,114,3,93.95,0
10286,Male,North,Pro,PayPal,31.0,111,1,82.31,1
10287,Female,West,Pro,PayPal,40.0,158,3,118.88,1
10288,Female,North,Plus,Crypto,26.0,106,2,192.25,0
10289,Male,North,Pro,Crypto,40.0,25,4,81.82,0
10290,Female,West,Plus,E-Wallet,39.0,109,1,181.14,1
10291,Male,South,Basic,Credit Card,31.0,65,0,0.0,0
10292,Male,West,Plus,Credit Card,45.0,157,2,156.09,1
10293,Non-Binary,west,Pro,Crypto,34.0,100,1,80.08,1
10294,Male,South,Pro,Crypto,45.0,0,1,29.04,1
10295,Male,East,Basic,PayPal,51.0,69,3,14.19,1
10296,Female,West,Pro,Crypto,31.0,149,1,164.57,1
10297,Female,North,Plus,Crypto,40.0,112,2,177.55,1
10298,Male,West,Basic,,27.0,53,1,26.01,0
10299,Female,West,Pro,Credit Card,23.0,141,0,-10.0,1
10300,Male,North,Basic,Credit Card,32.0,13,2,99.56,0
10301,Male,South,Plus,PayPal,20.0,18,2,200.35,1
10302,Female,East,Basic,Credit Card,24.0,153,3,56.26,1
10303,Female,East,Basic,E-Wallet,39.0,58,5,13.1,1
10304,Female,North,Basic,E-Wallet,28.0,149,1,0.0,1
10305,Female,South,Pro,,41.0,5,4,138.66,1
10306,Unknown,West,Basic,Crypto,36.0,62,2,,1
10307,Female,West,PRO,Crypto,52.0,76,3,84.51,1
10308,Male,West,Plus,E-Wallet,39.0,73,1,107.41,0
10309,Female,West,Plus,,45.0,126,5,174.45,1
10310,Male,West,Basic,,38.0,146,2,21.58,1
10311,Female,North,Plus,Credit Card,37.0,94,1,223.43,0
10312,Male,West,PRO,Credit Card,45.0,9,3,84.16,0
10313,Male,West,Basic,E-Wallet,40.0,36,3,25.08,1
10314,Unknown,South,BASIC,Crypto,36.0,144,1,11.07,1
10315,Non-Binary,West,BASIC,,36.0,132,0,16.14,1
10316,Female,East,Plus,,39.0,148,2,115.81,0
10317,Female,North,Basic,,27.0,117,2,71.24,1
10318,Male,North,Basic,,26.0,166,1,0.0,1
10319,Male,North,Pro,E-Wallet,48.0,147,1,80.03,1
10320,Male,East,Pro,Crypto,52.0,142,3,98.22,1
10321,Female,West,Pro,Crypto,24.0,78,4,20.57,1
10322,Female,North,Pro,Credit Card,27.0,52,1,62.32,0
10323,Female,East,Basic,,45.0,32,2,36.81,0
10324,Male,South,Plus,Credit Card,39.0,121,2,,1
10325,Unknown,west,Basic,Credit Card,40.0,171,1,29.09,1
10326,Female,East,Pro,Credit Card,42.0,177,3,29.37,1
10327,Female,West,Pro,Credit Card,31.0,31,2,35.27,1
10328,Female,South,Basic,,,78,1,54.93,1
10329,Female,East,Plus,E-Wallet,36.0,155,3,199.05,1
10330,Male,West,Basic,Credit Card,25.0,2,2,76.15,1
10331,Male,east,BASIC,PayPal,37.0,52,0,27.9,1
10332,Female,North,Plus,Crypto,,169,2,184.05,0
10333,Male,West,Pro,E-Wallet,,1,1,22.87,0
10334,Male,East,Pro,PayPal,35.0,120,2,33.43,1
10335,Male,North,Pro,Credit Card,36.0,149,1,70.24,1
10336,Male,South,Plus,,31.0,152,2,155.67,1
10337,Non-Binary,West,Basic,Crypto,40.0,159,2,11.66,1
10338,Female,West,Basic,PayPal,,134,5,17.27,1
10339,Female,South,Basic,Credit Card,47.0,61,0,-10.0,1
10340,Male,North,BASIC,Crypto,,30,3,6.15,1
10341,Female,South,Pro,Credit Card,24.0,62,1,30.46,1
10342,Female,West,Basic,Credit Card,,36,1,75.72,0
10343,Male,East,Basic,E-Wallet,35.0,67,3,0.0,1
10344,Female,North,BASIC,Crypto,26.0,78,2,57.02,1
10345,Male,North,Pro,Crypto,,136,4,82.53,1
10346,Female,North,Plus,Credit Card,38.0,45,2,180.79,0
10347,Female,South,Basic,PayPal,16.0,94,3,32.01,0
10348,Male,South,Pro,Crypto,,33,3,65.55,0
10349,Male,East,Basic,PayPal,36.0,107,-1,12.93,1
10350,Female,East,Pro,PayPal,12.0,59,1,123.44,0
10351,Female,North,Basic,Crypto,34.0,140,3,0.0,1
10352,Non-Binary,East,Basic,PayPal,35.0,35,0,18.4,0
10353,Female,South,Pro,Crypto,22.0,47,2,152.26,1
10354,Male,East,Plus,E-Wallet,36.0,92,3,148.02,0
10355,Male,South,Basic,Crypto,34.0,5,1,30.58,0
10356,Female,East,Pro,Crypto,22.0,132,2,15.96,1
10357,Male,West,Pro,Crypto,43.0,102,1,74.93,1
10358,Female,South,Plus,E-Wallet,,177,2,155.43,1
10359,Unknown,West,Basic,PayPal,31.0,73,1,18.55,1
10360,Female,South,Basic,E-Wallet,32.0,73,0,47.98,1
10361,Male,east,Plus,,41.0,112,3,154.63,1
10362,Female,West,BASIC,Crypto,31.0,151,3,0.44,0
10363,Female,East,Basic,Crypto,14.0,6,2,10.89,0
10364,Female,South,Basic,E-Wallet,38.0,85,3,47.54,1
10365,Unknown,West,PLUS,E-Wallet,,57,2,107.74,1
10366,Male,north,Basic,E-Wallet,30.0,148,1,19.51,0
10367,Unknown,East,PLUS,E-Wallet,48.0,160,0,163.84,0
10368,Unknown,South,Basic,Crypto,32.0,43,2,-10.0,1
10369,Male,West,Basic,Crypto,34.0,24,1,91.74,0
10370,Male,East,Basic,Credit Card,39.0,94,2,49.55,1
10371,Male,West,Basic,E-Wallet,39.0,115,3,26.4,1
10372,Male,East,Pro,E-Wallet,24.0,142,3,133.31,1
10373,Male,east,Pro,PayPal,33.0,156,0,123.99,1
10374,Female,East,Basic,PayPal,34.0,82,6,,1
10375,Male,West,Basic,Crypto,36.0,51,0,62.63,1
10376,Male,West,Pro,Credit Card,36.0,16,0,69.69,0
10377,Non-Binary,East,Plus,E-Wallet,59.0,35,3,103.92,1
10378,Male,North,Pro,Credit Card,22.0,162,2,118.35,1
10379,Non-Binary,North,Plus,Credit Card,43.0,167,3,149.73,1
10380,Male,North,Basic,Crypto,45.0,150,1,31.92,1
10381,Male,South,Plus,Credit Card,38.0,161,1,165.61,1
10382,Female,North,Basic,E-Wallet,27.0,81,3,67.67,0
10383,Female,West,BASIC,Crypto,50.0,127,3,3.47,1
10384,Non-Binary,north,Plus,Credit Card,12.0,79,1,101.78,1
10385,Female,West,Plus,Crypto,,155,6,169.89,1
10386,Non-Binary,South,Pro,Crypto,45.0,59,1,132.67,1
10387,Male,West,Basic,PayPal,30.0,159,0,0.0,0
10388,Male,West,Basic,Crypto,49.0,57,1,37.04,1
10389,Female,West,Basic,Credit Card,18.0,81,1,41.34,1
10390,Non-Binary,North,Plus,PayPal,22.0,43,1,,0
10391,Unknown,East,Basic,E-Wallet,28.0,161,3,51.2,1
10392,Female,West,Plus,E-Wallet,38.0,148,1,116.12,1
10393,Male,North,Basic,E-Wallet,31.0,123,2,46.87,1
10394,Female,North,Plus,E-Wallet,29.0,0,3,165.25,0
10395,Male,North,Plus,E-Wallet,48.0,176,1,173.75,1
10396,Unknown,East,Basic,Credit Card,49.0,96,1,0.0,1
10397,Non-Binary,East,Basic,Crypto,29.0,20,3,0.0,1
10398,Female,East,PLUS,PayPal,16.0,98,0,118.3,0
10399,Female,East,PRO,Crypto,12.0,154,1,158.48,1
10400,Female,South,PRO,Crypto,36.0,147,1,86.93,1
10401,Male,East,Pro,Credit Card,40.0,143,1,47.89,1
10402,Unknown,East,Basic,Credit Card,34.0,47,5,40.16,1
10403,Female,East,Plus,Credit Card,33.0,31,1,168.64,0
10404,Non-Binary,West,Basic,PayPal,25.0,31,2,47.49,0
10405,Male,West,Plus,Credit Card,,123,0,116.1,1
10406,Non-Binary,east,Basic,Crypto,50.0,129,2,39.79,1
10407,Male,south,Pro,PayPal,11.0,21,2,,0
10408,Male,West,Basic,Credit Card,33.0,51,0,0.82,1
10409,Unknown,North,Basic,Credit Card,24.0,95,3,,1
10410,Male,West,Basic,Credit Card,19.0,161,1,84.09,1
10411,Male,North,Pro,Crypto,22.0,144,1,95.77,1
10412,Unknown,west,PRO,Credit Card,37.0,22,3,63.8,1
10413,Unknown,East,PLUS,Crypto,38.0,32,4,164.43,1
10414,Female,West,BASIC,PayPal,48.0,156,0,0.0,1
10415,Female,East,Pro,Credit Card,34.0,18,3,145.03,1
10416,Female,East,Pro,E-Wallet,16.0,120,0,148.38,0
10417,Male,West,Basic,E-Wallet,31.0,68,1,91.74,0
10418,Male,North,Basic,Crypto,20.0,36,0,0.0,0
10419,Female,North,BASIC,Credit Card,,122,0,29.24,1
10420,Female,West,Basic,Credit Card,39.0,153,0,80.99,0
10421,Female,East,Basic,E-Wallet,35.0,23,3,0.0,1
10422,Female,North,Pro,PayPal,39.0,53,3,93.87,1
10423,Male,South,Basic,,30.0,20,1,11.4,0
10424,Female,East,Pro,Crypto,,96,1,0.0,1
10425,Male,West,Plus,,,89,2,181.39,0
10426,Female,East,Pro,Crypto,45.0,137,4,92.99,0
10427,Female,South,Pro,Crypto,37.0,41,4,88.59,1
10428,Non-Binary,South,BASIC,,,156,2,0.0,1
10429,Male,North,Plus,E-Wallet,36.0,162,5,206.32,1
10430,Male,South,Basic,Crypto,33.0,27,2,45.79,1
10431,Male,East,Pro,PayPal,49.0,139,1,102.81,1
10432,Female,North,Plus,PayPal,36.0,57,1,198.09,0
10433,Female,South,PRO,Credit Card,,126,3,108.45,1
10434,Male,North,Pro,,31.0,171,3,59.4,1
10435,Male,North,Basic,E-Wallet,42.0,6,4,50.29,0
10436,Female,West,Basic,Credit Card,41.0,143,3,33.45,1
10437,Male,North,PRO,Crypto,31.0,92,1,87.75,1
10438,Non-Binary,North,Basic,PayPal,22.0,34,3,54.08,1
10439,Female,South,Pro,PayPal,24.0,91,2,44.5,1
