Learning_Mode,Subject,Study_Hours,Retention_Score,Focus_Level,Exam_Score
Online,Science,5.7,100,90,99
Offline,History,1.5,76,60,74
Online,Science,5.6,48,51,45
Online,History,1.6,87,70,85
Online,Programming,2.7,62,82,65
Online,History,4.9,77,92,87
Online,English,1.5,49,72,53
Offline,English,7.0,72,95,76
Online,English,7.6,41,82,53
Offline,History,1.8,57,96,77
Offline,English,2.7,46,98,69
Offline,Science,2.8,74,94,82
Online,History,6.0,56,83,67
Online,History,4.8,48,63,57
Online,English,1.6,51,71,61
Online,Programming,4.8,70,76,72
Online,Science,3.2,55,56,52
Offline,History,6.8,100,58,78
Offline,History,6.2,100,78,89
Offline,History,3.4,57,100,72
Online,Math,1.3,75,44,66
Online,History,7.8,97,70,89
Online,Math,4.1,56,79,61
Offline,Math,4.8,83,73,82
Offline,Math,4.7,64,83,70
Offline,Math,5.8,77,75,73
Offline,English,3.2,100,84,91
Offline,English,6.2,100,69,92
Offline,English,4.1,100,98,99
Online,Science,2.0,89,82,86
Online,English,7.2,50,100,75
Offline,Math,5.3,87,63,74
Online,Math,7.2,43,82,61
Online,English,5.0,77,99,87
Online,History,7.7,62,79,70
Offline,History,4.1,61,80,70
Online,Science,3.7,91,46,74
Offline,Programming,1.7,100,73,89
Online,History,3.8,50,97,63
Online,History,2.9,91,53,70
Offline,Math,7.0,95,100,100
Online,History,1.0,82,65,80
Offline,Science,3.5,71,47,60
Online,English,3.2,41,61,51
Offline,History,5.1,86,100,92
Online,English,3.5,79,81,76
Offline,Math,1.4,100,74,87
Offline,Math,5.9,68,59,59
Offline,History,1.8,71,91,79
Offline,Science,1.8,57,86,71
Offline,Programming,2.1,47,53,44
Online,Math,1.4,45,98,71
Online,Math,3.4,83,90,82
Offline,Programming,6.7,57,68,58
Offline,Science,2.0,78,79,76
Offline,English,3.8,100,85,97
Offline,History,6.3,91,78,82
Offline,Science,5.2,86,98,91
Online,Programming,2.8,54,71,55
Offline,Programming,1.1,100,89,92
Online,Math,3.1,43,96,59
Online,Math,4.2,77,96,80
Offline,English,3.1,66,55,61
Online,English,3.7,70,97,80
Online,History,5.0,61,80,67
Offline,Programming,3.3,62,65,66
Online,English,3.3,50,95,66
Offline,Science,7.0,73,83,80
Online,English,4.8,63,48,58
Offline,Programming,5.5,65,53,58
Offline,English,5.6,100,66,84
Offline,History,7.6,95,64,78
Online,English,1.4,40,69,49
Online,English,6.6,70,49,66
Offline,Math,7.0,60,88,73
Offline,Programming,5.0,100,50,76
Offline,Math,4.4,57,81,65
Offline,Science,3.1,99,72,84
Online,History,2.2,40,75,58
Online,English,4.7,74,63,66
Online,English,5.2,59,56,55
Online,History,4.8,47,64,52
Online,Math,7.1,93,95,95
Online,History,6.3,54,85,61
Online,Programming,1.8,91,60,75
Online,History,6.3,82,65,80
Online,History,5.8,69,52,59
Offline,Programming,6.8,59,60,58
Offline,Programming,4.9,80,49,68
Offline,English,5.9,67,92,80
Offline,Science,3.3,87,48,68
Online,Science,4.1,100,86,99
Online,Programming,7.4,66,55,64
Online,Programming,2.3,43,73,55
Online,Programming,2.3,50,97,73
Offline,Math,7.3,58,51,51
Offline,Math,7.5,90,91,90
Online,Math,1.0,58,89,67
Offline,Math,6.7,64,80,74
Offline,English,6.0,96,44,77
Online,History,7.8,43,95,65
Online,History,3.3,59,45,57
Online,History,6.6,98,78,92
Online,Programming,2.8,60,98,77
Offline,History,6.9,54,68,58
Online,Programming,2.0,75,68,76
Offline,Math,3.6,97,53,77
Online,Programming,3.0,68,63,71
Online,Math,6.7,88,82,81
Offline,English,2.7,100,87,93
Online,Science,1.6,48,47,46
Online,English,5.5,83,49,66
Offline,Science,6.1,70,75,69
Online,Math,3.4,98,72,88
Online,Science,2.8,68,58,64
Offline,English,4.2,49,54,52
Offline,History,4.9,43,85,59
Online,Science,5.1,88,87,83
Online,Math,6.9,54,66,58
Online,Science,4.6,74,65,69
Online,Math,5.7,78,41,66
Offline,Programming,1.4,91,63,84
Offline,Math,5.2,56,55,58
Offline,Science,3.4,83,88,83
Offline,Science,7.9,66,80,71
Offline,Science,7.0,57,48,51
Offline,History,4.7,82,50,67
Offline,Programming,2.8,65,56,58
Offline,Science,1.2,99,82,94
Offline,English,3.6,78,92,86
Online,Science,7.5,98,85,94
Online,Programming,1.8,83,70,79
Online,Programming,2.8,100,62,89
Online,English,5.0,43,74,59
Online,History,5.7,54,98,74
Online,History,1.5,58,46,56
Offline,Programming,6.5,97,93,100
Offline,Programming,3.6,48,68,57
Online,Science,5.8,77,97,83
Online,History,5.0,59,84,72
Online,Programming,5.5,48,41,48
Offline,History,3.4,100,85,97
Online,Programming,4.9,93,95,93
Online,Science,6.6,100,75,85
Online,Science,7.6,51,100,67
Offline,Programming,7.3,100,60,85
Online,English,7.4,100,52,77
Offline,English,5.8,88,73,83
Online,English,2.5,67,68,62
Online,Science,3.3,64,98,77
Online,Programming,7.3,77,64,72
Online,English,7.3,99,63,88
Online,Programming,6.4,64,85,74
Online,Math,1.1,72,99,83
Online,Programming,5.0,87,85,87
Offline,English,6.9,81,51,72
Offline,English,3.6,87,42,67
Offline,Math,6.8,100,93,95
Online,History,1.0,41,92,56
Online,History,2.8,64,80,67
Offline,Science,6.9,69,57,64
Offline,History,2.9,84,67,72
Offline,Programming,6.6,57,42,55
Offline,Science,5.6,83,74,76
Offline,History,2.6,74,91,83
Offline,Math,3.8,84,75,80
Offline,History,1.8,59,43,49
Online,English,5.2,57,77,66
Online,Math,3.2,41,62,45
Offline,Programming,3.9,78,69,74
Offline,History,1.8,61,99,75
Online,Science,7.2,67,54,57
Offline,English,5.8,59,63,63
Online,Science,5.9,83,83,78
Online,English,4.6,90,43,66
Online,Science,4.5,59,93,71
Online,English,2.1,84,77,78
Online,Science,2.7,91,52,73
Offline,Math,5.8,97,62,88
Offline,Science,6.8,48,53,51
Online,English,6.2,94,71,81
Online,Science,2.4,85,45,70
Online,Math,6.7,79,42,60
Online,History,5.5,81,95,82
Offline,Science,5.1,64,97,79
Offline,Programming,3.8,92,93,95
Online,History,1.0,73,52,65
Online,History,5.7,51,94,73
Online,English,7.1,44,83,57
Online,Programming,7.5,96,43,76
Offline,Math,5.7,94,55,74
Online,English,1.3,64,90,70
Online,English,5.2,85,52,68
Offline,Programming,1.3,68,99,81
Offline,Math,2.7,60,57,62
Offline,Science,4.8,60,70,63
Offline,Math,8.0,83,68,81
Online,Programming,6.4,99,43,71
Online,Math,7.5,72,56,70
Offline,Science,3.0,93,83,88
Offline,Science,1.4,80,98,86
Online,History,6.6,90,97,87
Offline,History,1.3,47,45,50
Offline,Programming,5.8,73,86,75
Offline,English,5.9,69,71,65
Online,Math,1.7,59,78,62
Online,Programming,6.2,59,63,61
Online,Science,3.2,65,61,65
Offline,Math,6.8,89,52,77
Offline,History,2.6,76,94,87
Offline,Science,5.6,81,52,70
Online,English,3.4,67,83,69
Offline,Math,1.1,87,46,65
Online,Math,6.5,92,44,68
Online,Science,4.0,96,71,88
Offline,Math,7.9,69,43,59
Online,English,7.1,51,89,64
Offline,Science,2.1,62,54,61
Offline,History,1.7,70,77,76
Offline,History,1.8,59,65,63
Online,English,4.3,54,63,58
Offline,Science,3.3,57,44,55
Online,Math,1.5,50,81,66
Offline,Programming,4.9,67,90,71
Online,Math,4.6,71,73,70
Online,Programming,2.6,98,52,76
Online,Programming,4.0,44,74,53
Offline,Science,2.2,66,51,65
Online,Programming,2.7,94,69,83
Offline,History,3.7,55,90,68
Offline,English,1.8,69,47,57
Offline,History,6.6,47,66,59
Offline,Science,4.4,70,74,66
Offline,History,7.4,42,89,59
Online,Math,5.7,41,88,61
Offline,Science,4.4,82,55,69
Online,Science,4.2,98,75,91
Online,Science,7.0,60,59,57
Offline,Science,3.8,63,99,76
Offline,Programming,1.7,98,64,85
Offline,Science,5.0,46,79,60
Online,English,6.0,95,76,86
Online,Programming,3.0,68,51,66
Offline,History,4.2,94,66,78
Online,History,1.9,69,50,61
Offline,Science,1.1,69,89,76
Offline,Math,4.0,79,62,76
Offline,Math,5.1,50,71,58
Offline,English,2.4,73,75,78
Offline,Programming,6.1,99,49,77
Offline,History,1.2,73,75,77
Offline,History,4.3,80,94,88
Offline,Programming,4.5,67,72,69
Offline,History,1.9,55,58,58
Offline,History,3.9,98,49,80
Offline,Programming,1.8,74,61,70
Offline,Science,8.0,100,56,87
Offline,Science,6.6,82,88,88
Online,English,2.9,88,46,67
Online,Math,1.2,49,100,64
Offline,History,1.3,87,76,86
Offline,English,4.1,52,92,68
Offline,History,6.6,93,93,97
Offline,Math,3.9,47,84,61
Online,Programming,6.8,77,55,67
Online,Science,6.0,76,52,61
Online,Math,3.5,51,51,53
Offline,Programming,4.8,79,75,73
Offline,Math,5.0,100,41,76
Online,Programming,3.3,58,98,70
Offline,Science,2.2,89,44,67
Online,Programming,4.6,68,66,66
Offline,Science,2.3,72,88,78
Offline,English,7.5,71,90,73
Offline,Math,3.5,88,75,84
Offline,Science,5.0,46,49,52
Offline,English,7.6,64,86,71
Offline,Programming,7.2,100,90,92
Offline,Programming,6.7,57,46,54
Online,English,6.9,53,84,65
Online,Science,6.3,48,45,46
Offline,English,3.1,46,41,44
Offline,History,6.9,70,42,60
Offline,History,7.4,91,92,87
Offline,Programming,5.0,44,93,66
Online,Science,4.0,78,86,76
Offline,Math,6.6,68,51,57
Online,Science,5.6,79,78,82
Online,Math,1.6,77,60,70
Online,Programming,6.2,71,50,58
Online,English,7.1,95,43,73
Offline,Math,5.8,51,65,56
Offline,Science,1.1,98,46,78
Online,Math,7.8,63,79,72
Online,History,2.0,66,96,79
Offline,English,7.1,74,79,73
Online,Math,5.5,96,64,79
Offline,History,4.0,88,91,86
Online,Programming,5.3,67,96,76
Online,Math,4.9,65,84,70
Online,Math,7.8,76,69,76
Online,History,1.0,45,41,46
Offline,Science,6.5,65,61,61
Online,History,2.3,94,55,80
Offline,Math,4.1,68,97,78
Offline,History,2.1,85,79,78
Online,Science,5.9,70,82,73
Offline,English,5.7,91,80,89
Online,Science,3.1,50,68,52
Offline,Programming,5.4,83,45,71
Online,History,6.1,77,83,77
Offline,Science,3.3,71,70,73
Offline,Science,2.5,61,81,70
Online,History,5.4,100,79,86
Online,Math,2.2,61,64,64
Offline,Programming,3.3,76,92,87
Offline,Math,2.6,88,58,74
Online,Programming,1.8,45,43,39
Offline,Math,3.7,63,79,66
Online,History,7.0,79,88,80
Offline,History,5.2,94,59,75
Online,Programming,5.1,58,62,59
Online,English,5.9,94,75,86
Offline,English,2.7,100,83,94
Online,Programming,7.9,62,77,68
Online,English,2.9,89,91,88
Online,History,2.9,41,100,62
Offline,Programming,4.1,90,72,79
Online,English,1.9,70,69,70
Offline,Programming,2.6,54,94,67
Online,Science,1.2,63,46,52
Offline,Science,1.1,98,75,93
Online,History,6.1,92,40,73
Online,History,7.2,61,71,68
Offline,Programming,2.4,54,100,69
Offline,Math,8.0,48,74,58
Online,Math,5.3,41,90,64
Offline,English,6.2,65,80,72
Online,Science,2.6,72,71,72
Online,History,3.3,46,69,58
Offline,Science,1.0,68,74,67
Offline,Math,4.7,50,99,66
Online,Science,7.1,81,82,81
Online,Math,7.8,77,49,65
Offline,History,4.2,78,52,68
Online,Programming,6.3,91,66,83
Online,Math,1.1,56,45,50
Offline,English,3.0,89,44,69
Offline,Math,5.3,100,52,76
Online,Science,7.8,50,65,52
Offline,Programming,1.5,100,57,80
Offline,Science,5.7,59,93,67
Offline,Science,1.3,97,62,86
Online,Programming,6.3,78,60,67
Offline,History,5.5,99,50,84
Offline,Math,6.5,72,62,72
Online,Math,5.7,75,47,60
Online,History,4.4,54,40,50
Online,English,1.1,61,42,58
Online,Math,6.4,88,90,84
Online,English,2.6,44,77,61
Online,Programming,1.3,68,57,65
Online,English,5.1,94,71,88
Offline,Science,2.0,96,64,79
Online,Science,1.2,74,73,76
Online,English,7.8,99,61,84
Offline,Science,4.9,84,45,69
Online,Math,6.8,70,74,69
Online,Math,2.1,83,47,73
Online,Math,1.7,83,68,82
Online,Science,5.7,75,95,84
Online,Programming,4.1,48,50,53
Online,Science,3.6,75,41,59
Online,Programming,1.4,52,75,58
Offline,English,2.0,66,77,72
Offline,English,5.6,86,58,71
Online,English,2.9,99,69,91
Online,Math,1.7,69,90,72
Offline,History,2.1,100,91,96
Online,History,5.3,61,62,62
Offline,History,3.9,80,80,84
Online,History,3.6,56,96,76
Online,Science,1.8,55,96,67
Offline,Programming,4.3,93,45,69
Online,History,7.7,82,95,90
Online,History,1.8,50,79,61
Online,Science,7.5,53,48,53
Online,Science,6.0,87,75,82
Online,Programming,3.3,48,72,59
Online,English,5.0,90,90,88
Offline,History,5.7,71,59,67
Offline,Science,5.9,69,87,74
Online,English,2.1,89,74,78
Offline,English,3.4,98,59,79
Online,History,2.2,62,49,51
Online,Science,3.1,49,60,48
Online,Math,5.9,60,64,63
Offline,English,6.6,79,71,74
Offline,History,5.4,97,77,94
Offline,Programming,1.2,91,48,70
Online,History,6.2,48,67,51
Offline,English,3.8,90,81,90
Offline,Programming,7.0,53,54,51
Offline,English,5.9,83,48,70
Online,Science,6.5,71,73,75
Online,Science,4.6,80,58,73
Offline,Programming,6.0,94,68,82
Online,English,6.5,73,82,78
Online,English,2.1,61,64,63
Online,Science,6.4,72,59,69
Online,Math,4.1,100,99,100
Online,Science,4.2,83,47,72
Offline,History,5.5,69,40,53
Offline,English,1.9,62,86,74
Offline,Science,6.2,83,45,69
Online,English,3.4,60,80,67
Online,History,7.7,80,60,74
Offline,History,7.2,97,85,91
Online,Science,6.7,62,87,73
Offline,Science,6.3,75,80,75
Offline,Science,3.6,52,55,57
Offline,Programming,6.5,71,44,61
Offline,Science,6.6,78,54,64
Online,Science,7.1,42,93,67
Offline,English,5.2,71,88,73
Online,English,1.6,98,41,80
Online,Science,6.3,89,59,72
Online,Science,3.6,94,96,93
Online,History,6.7,67,83,69
Offline,Math,3.7,61,41,55
Online,Math,1.9,74,95,85
Online,Programming,1.4,59,45,54
Offline,Science,4.2,72,93,78
Offline,English,6.9,60,62,64
Online,Math,1.9,73,99,87
Offline,Math,4.6,48,56,53
Offline,Programming,6.3,67,66,62
Offline,English,4.5,92,98,97
Offline,Programming,5.7,100,87,91
Online,History,7.4,55,87,64
Offline,Math,5.4,59,94,71
Online,English,3.0,64,98,80
Online,English,4.7,70,82,69
Offline,Programming,6.2,88,46,69
Online,Math,6.8,83,52,74
Offline,Science,4.5,88,60,79
Offline,Science,5.6,69,79,78
Online,History,1.8,46,81,59
Offline,Programming,3.8,52,57,51
Offline,Programming,6.8,100,74,87
Online,English,6.4,84,52,76
Offline,Math,7.4,64,55,58
Offline,English,2.6,69,90,72
Offline,History,6.7,95,95,99
Online,History,5.1,78,70,70
Online,Programming,6.3,56,53,55
Offline,Math,7.2,52,56,52
Offline,Math,2.6,54,90,69
Offline,Science,1.3,100,71,93
Offline,Programming,4.4,59,62,65
Online,History,2.1,90,94,86
Online,English,2.9,96,64,84
Online,Math,3.5,87,57,80
Online,Math,3.1,65,60,64
Offline,Math,4.9,83,42,65
Online,History,3.1,87,41,66
Online,History,6.4,45,98,71
Online,Math,6.2,70,49,58
Online,History,3.3,45,100,62
Online,English,7.8,73,44,63
Online,English,4.5,97,49,78
Online,English,6.3,76,65,74
Offline,English,7.6,96,86,91
Online,English,4.7,87,71,85
Online,Math,6.3,71,63,65
Offline,Programming,7.2,100,49,82
Online,Programming,6.0,75,98,80
Online,English,5.4,57,81,67
Offline,Programming,4.3,73,40,60
Offline,Science,2.5,73,70,69
Online,Programming,7.9,84,91,88
Offline,Science,1.3,48,78,55
Offline,History,7.0,100,85,99
Offline,Programming,3.9,83,81,87
Online,Science,3.6,93,97,99
Offline,English,5.0,87,87,91
Online,Science,4.1,68,44,54
Online,English,6.9,97,78,85
Offline,History,3.0,100,57,82
Offline,History,3.7,71,84,77
Online,Math,2.9,40,58,43
Offline,English,4.3,85,98,95
Offline,History,6.5,55,60,53
Offline,English,2.4,51,79,58
Offline,Science,5.8,97,54,76
Offline,Math,6.8,50,77,57
Offline,English,7.0,54,78,64
Online,Science,6.9,100,55,86
Offline,Science,7.0,61,58,58
Offline,History,5.8,100,84,89
Online,History,3.9,84,94,86
Offline,Science,3.8,68,41,53
Offline,English,2.3,66,99,75
Offline,Math,5.0,56,86,70
Offline,English,3.3,77,79,74
Online,Math,2.7,59,53,61
Online,English,5.3,63,99,82
Offline,Science,1.1,47,50,52
Offline,Science,1.9,66,75,70
Online,Math,5.6,75,40,56
Offline,Science,7.3,63,80,69
Offline,Programming,6.0,100,70,85
Online,English,7.6,43,77,52
Offline,Science,6.0,76,42,60
Offline,History,5.7,48,68,60
Offline,Programming,6.1,100,95,99
Online,English,7.1,79,61,66
Offline,Science,1.0,50,77,64
Online,Science,4.1,90,47,72
Offline,Science,4.6,73,51,65
Offline,Math,6.6,100,53,86
Online,Math,5.7,91,92,96
Online,Programming,5.6,87,60,77
Offline,Math,5.3,64,75,65
Online,Math,7.8,43,54,48
Online,English,1.5,87,67,82
Online,English,4.4,52,90,69
Offline,English,7.8,48,71,58
Offline,Math,6.4,88,67,74
Offline,Science,6.3,55,73,62
Offline,Math,6.1,57,57,59
Online,History,4.9,64,80,74
Online,English,1.8,43,72,55
Offline,English,6.6,100,48,79
Offline,History,6.9,72,75,74
Online,Math,7.4,40,52,40
Offline,Programming,6.6,49,59,53
Offline,Math,5.4,69,90,74
Online,English,2.4,85,100,95
Online,Programming,5.0,77,69,72
Online,English,1.3,82,88,86
Offline,Math,6.7,45,67,48
Offline,History,6.4,50,76,62
Online,Math,6.4,69,51,66
Offline,Programming,3.5,43,100,67
Offline,Programming,4.4,66,43,55
Online,Science,3.7,46,59,54
Online,Science,3.8,62,60,60
Offline,English,5.9,59,87,74
Offline,Programming,6.4,86,83,86
Online,English,7.3,66,53,58
Offline,Programming,5.7,83,77,78
Offline,Math,3.9,90,76,87
Offline,English,1.3,97,81,94
Offline,Math,2.3,75,41,63
Online,Science,1.5,95,55,81
Offline,Math,3.5,97,58,77
Online,Math,7.6,42,90,56
Offline,Science,4.2,64,58,60
Online,English,3.0,66,100,74
Offline,Programming,2.7,65,72,62
Offline,Math,6.2,89,64,80
Online,Science,5.1,59,41,56
Online,History,6.5,57,73,67
Online,Science,3.2,89,83,91
Offline,History,3.9,75,57,62
Online,Programming,8.0,99,87,98
Online,Science,1.2,88,90,85
Offline,English,3.1,69,58,63
Online,Math,1.2,76,92,80
Online,Science,5.6,77,43,58
Offline,Programming,7.9,98,77,91
Online,Math,3.8,42,92,67
Online,Science,3.0,47,41,45
Online,Math,4.4,79,87,82
Online,History,1.2,86,42,73
Offline,English,5.4,88,64,80
Offline,Programming,3.5,90,79,81
Offline,Math,2.2,48,57,46
Offline,History,5.8,51,52,53
Offline,Math,4.6,74,100,79
Offline,Science,2.6,84,61,78
Offline,Math,4.2,78,63,73
Offline,Science,4.9,68,58,65
Offline,Programming,6.1,92,40,67
Online,History,4.3,54,44,52
Online,Programming,7.7,65,99,78
Offline,History,6.5,49,78,57
Online,Science,1.9,76,92,77
Offline,English,2.9,80,100,87
Offline,Programming,7.3,100,90,96
Online,Math,3.5,55,48,55
Offline,Science,4.3,58,50,59
Offline,History,6.5,51,49,46
Online,History,6.7,81,76,80
Online,Math,4.7,55,68,59
Offline,Math,3.2,51,41,52
Online,Math,1.2,48,44,46
Offline,Science,6.4,94,84,88
Online,Math,6.6,57,52,55
Online,Programming,7.1,90,41,75
Online,Programming,6.7,63,52,59
Offline,English,7.1,98,88,90
Online,Science,7.9,65,82,75
Offline,Math,6.7,96,90,95
Offline,English,5.9,81,70,79
Offline,English,2.0,64,90,70
Offline,History,6.6,64,64,69
Offline,English,5.7,58,52,53
Online,Math,4.1,54,94,75
Offline,History,3.1,78,90,80
Online,Programming,4.0,68,83,76
Offline,Programming,5.5,72,82,77
Online,Programming,4.8,96,60,83
Online,English,4.0,68,95,80
Online,History,2.3,76,89,81
Online,Science,7.2,70,69,67
Online,Science,6.7,81,62,73
Online,Science,2.6,80,98,83
Offline,History,7.7,80,97,88
Offline,History,5.1,59,52,60
Online,History,4.9,84,95,83
Online,Programming,3.4,71,77,69
Offline,History,2.6,80,79,78
Online,History,7.0,52,56,52
Offline,Math,2.0,58,86,65
Offline,Science,4.4,96,98,100
Online,English,5.6,81,87,85
Online,English,6.6,89,69,80
Offline,Math,4.9,100,86,90
Online,Math,6.8,45,69,54
Offline,Programming,7.6,65,46,55
Online,History,1.4,49,56,52
Online,Science,2.9,40,94,66
Offline,Science,7.5,100,56,79
Online,English,7.4,96,61,77
Offline,English,3.3,100,51,84
Online,Math,4.5,88,71,85
Online,Programming,1.4,41,53,42
Offline,Programming,2.7,70,91,73
Online,Programming,7.6,85,50,70
Offline,Math,4.7,54,95,74
Online,History,1.3,81,94,88
Offline,English,6.2,97,63,87
Offline,Programming,2.7,61,54,61
Offline,English,4.6,54,99,77
Online,History,6.9,95,88,87
Offline,History,3.8,53,59,56
Online,Science,3.9,66,73,65
Online,Programming,1.5,51,61,57
Online,Math,4.3,81,56,74
Online,Science,1.0,51,87,61
Online,Programming,7.5,61,79,63
Offline,English,1.4,75,74,76
Online,History,3.5,60,92,69
Online,Science,5.4,84,56,68
Online,English,5.4,96,97,100
Offline,Programming,4.6,79,76,79
Offline,History,4.6,75,73,72
Offline,English,6.6,90,95,87
Online,History,1.7,83,46,72
Online,Science,1.4,95,75,84
Online,English,7.7,99,88,91
Online,Math,4.4,47,100,69
Online,Programming,5.1,63,74,64
Online,Programming,7.8,94,95,94
Online,Programming,2.7,87,73,77
Online,Programming,2.5,84,64,79
Offline,Math,3.5,84,82,86
Offline,Math,5.5,94,40,75
Online,Programming,3.8,45,93,62
Offline,Programming,6.9,72,76,76
Offline,Math,5.4,49,100,73
Offline,History,2.4,45,54,43
Offline,English,2.4,59,97,77
Online,History,6.1,76,83,74
Online,History,1.6,89,83,84
Offline,Math,6.9,49,78,56
Online,History,5.3,70,45,60
Online,Science,6.3,83,71,83
Online,English,5.1,43,99,65
Offline,Science,6.6,81,64,74
Offline,Programming,7.9,58,83,67
Offline,English,2.3,55,40,49
Online,Science,6.3,64,52,63
Offline,Math,2.6,97,98,92
Offline,Science,5.2,83,45,64
Online,History,2.3,64,43,53
Offline,Science,2.4,83,90,86
Online,History,4.3,58,98,69
Offline,Programming,4.8,49,82,58
Online,Math,5.4,76,85,83
Online,History,7.9,98,81,95
Offline,Science,6.6,47,66,52
Online,History,2.7,57,56,55
Online,Math,4.9,100,44,82
Offline,Math,7.8,81,40,60
Online,English,3.9,89,88,83
Offline,Science,5.6,51,45,48
Offline,English,5.0,85,44,63
Online,Science,4.3,73,59,64
Online,History,1.5,83,97,91
Offline,Math,2.5,82,44,68
Offline,Science,2.2,53,82,68
Offline,English,4.6,98,91,98
Offline,History,4.8,88,43,74
Offline,Science,3.9,96,93,98
Offline,Science,7.0,81,81,86
Online,Programming,6.7,65,98,73
Online,English,5.5,94,96,94
Offline,History,1.5,76,83,81
Online,Programming,5.4,63,61,57
Online,Science,7.0,49,44,45
Offline,History,2.1,73,69,71
Online,English,5.1,100,83,93
Offline,English,5.2,78,66,69
Offline,Science,6.6,81,54,74
Offline,History,3.9,100,54,82
Offline,History,5.5,59,71,67
Online,Science,4.6,86,94,88
Offline,Science,2.7,92,85,91
Offline,Math,3.0,98,48,74
Online,English,6.5,100,89,94
Online,Science,1.2,55,61,53
Online,Programming,2.7,40,88,61
Offline,Science,4.9,69,41,57
Offline,Math,5.6,78,89,82
Online,Programming,6.1,64,41,51
Online,Math,5.5,49,91,65
Offline,History,7.4,49,72,57
Offline,English,7.4,72,88,76
Offline,Programming,5.0,56,100,68
Online,Science,2.2,91,53,70
